time;position
12.540;0.454229
12.550;0.454447
12.560;0.454297
12.570;0.453976
12.580;0.453505
12.590;0.452668
12.600;0.451658
12.610;0.450499
12.620;0.448972
12.630;0.447252
12.640;0.445575
12.650;0.443532
12.660;0.441295
12.670;0.439101
12.680;0.436519
12.690;0.433937
12.700;0.431399
12.710;0.428451
12.720;0.425718
12.730;0.422813
12.740;0.419693
12.750;0.416766
12.760;0.41384
12.770;0.410893
12.780;0.407914
12.790;0.407278
12.800;0.404503
12.810;0.401921
12.820;0.39932
12.830;0.39689
12.840;0.394633
12.850;0.392548
12.860;0.390635
12.870;0.388914
12.880;0.387155
12.890;0.385778
12.900;0.384363
12.910;0.383293
12.920;0.382605
12.930;0.381897
12.940;0.381343
12.950;0.381152
12.960;0.381133
12.970;0.381267
12.980;0.381764
12.990;0.382432
13.000;0.383273
13.010;0.384266
13.020;0.385622
13.030;0.38715
13.040;0.38887
13.050;0.39053
13.060;0.392765
13.070;0.394999
13.080;0.397194
13.090;0.399772
13.100;0.402571
13.110;0.403018
13.120;0.405767
13.130;0.408517
13.140;0.411246
13.150;0.414168
13.160;0.417069
13.170;0.420204
13.180;0.422933
13.190;0.425875
13.200;0.428625
13.210;0.431375
13.220;0.434168
13.230;0.436574
13.240;0.439003
13.250;0.441237
13.260;0.443516
13.270;0.445429
13.280;0.446903
13.290;0.450804
13.300;0.452202
13.310;0.453428
13.320;0.454505
13.330;0.455238
13.340;0.455582
13.350;0.455995
13.360;0.455823
13.370;0.455696
13.380;0.455203
13.390;0.454538
13.400;0.453723
13.410;0.452541
13.420;0.451187
13.430;0.449661
13.440;0.447985
13.450;0.446187
13.460;0.441811
13.470;0.439596
13.480;0.437186
13.490;0.434798
13.500;0.432238
13.510;0.429484
13.520;0.426751
13.530;0.423824
13.540;0.420898
13.550;0.417971
13.560;0.415045
13.570;0.412098
13.580;0.409343
13.590;0.406345
13.600;0.40588
13.610;0.403278
13.620;0.400889
13.630;0.398267
13.640;0.396029
13.650;0.393753
13.660;0.39186
13.670;0.389947
13.680;0.388187
13.690;0.386811
13.700;0.385396
13.710;0.384344
13.720;0.383465
13.730;0.382757
13.740;0.382203
13.750;0.382012
13.760;0.381993
13.770;0.382146
13.780;0.382452
13.790;0.38312
