h1;h2;h3;h4;h5;h6;h7;h8
0.584663;0.558656;0.534028;0.509949;0.48246;0.45924;0.433947;0.407435
0.584147;0.558667;0.534533;0.510476;0.48246;0.459231;0.434119;0.408132
0.583608;0.558473;0.535232;0.51083;0.48246;0.459403;0.4343;0.408647
0.583436;0.558645;0.535748;0.510992;0.48246;0.459575;0.4343;0.409163
0.583252;0.558817;0.536264;0.511356;0.48245;0.459747;0.434309;0.409679
0.583252;0.558978;0.536791;0.511346;0.482632;0.459919;0.434128;0.410195
0.583229;0.559333;0.537145;0.511528;0.482632;0.460091;0.434137;0.41072
0.583573;0.559505;0.537328;0.511538;0.482613;0.460263;0.433956;0.411064
0.583893;0.559677;0.537339;0.511366;0.482966;0.460435;0.433956;0.411408
0.584593;0.559849;0.537167;0.511194;0.483129;0.460607;0.433956;0.411768
0.585109;0.560021;0.537005;0.511043;0.483473;0.460788;0.433956;0.41176
0.585625;0.560193;0.536672;0.510516;0.483817;0.460788;0.433956;0.41194
0.586141;0.560365;0.536156;0.510172;0.48417;0.460788;0.433965;0.41194
0.58668;0.560548;0.53564;0.509839;0.484342;0.460788;0.433784;0.411948
0.586852;0.560548;0.535135;0.509312;0.484514;0.460788;0.433784;0.411784
0.587048;0.56057;0.534447;0.508979;0.484677;0.460788;0.433784;0.41144
0.586876;0.560215;0.533748;0.508452;0.48503;0.460788;0.433775;0.411096
0.586727;0.560043;0.533232;0.508118;0.485202;0.460797;0.433956;0.410752
0.586211;0.559882;0.532705;0.507582;0.485384;0.460616;0.433947;0.410417
0.585707;0.559527;0.532361;0.50741;0.485384;0.460625;0.434128;0.409901
0.585007;0.559344;0.532007;0.507238;0.485394;0.460453;0.434128;0.409278
0.584491;0.559355;0.531824;0.507056;0.485212;0.460281;0.434128;0.411113
0.583975;0.559194;0.531824;0.507056;0.485222;0.4601;0.434128;0.410515
0.583447;0.558839;0.531803;0.507046;0.48504;0.460109;0.434119;0.407836
0.583092;0.558667;0.532147;0.507218;0.48505;0.459937;0.434317;0.407223
0.582908;0.558495;0.53248;0.50738;0.484887;0.459765;0.433965;0.408967
0.582908;0.558312;0.532996;0.507724;0.484543;0.459593;0.433784;0.406183
0.582885;0.55829;0.533512;0.508068;0.484199;0.459421;0.433793;0.407992
0.583217;0.558645;0.534017;0.508401;0.483846;0.45924;0.433621;0.407828
0.583733;0.558817;0.534716;0.508928;0.483674;0.45924;0.433449;0.407476
0.584237;0.558978;0.535221;0.509261;0.483502;0.459249;0.433268;0.407402
0.584937;0.559333;0.53592;0.509788;0.48333;0.459068;0.433268;0.40506
