Configuration 3:  

(using maxima)

5 - 32 	 T:  0.8788888888888887
5 - 33 	 T:  0.8787499999999999
5 - 34 	 T:  0.8787931034482759
5 - 35 	 T:  0.8785
5 - 36 	 T:  0.8787096774193549
5 - 37 	 T:  0.87890625
5 - 38 	 T:  0.8786363636363635
5 - 39 	 T:  0.8786764705882353
5 - 40 	 T:  0.8787142857142856
5 - 41 	 T:  0.8787499999999999
5 - 42 	 T:  0.8786486486486486
5 - 43 	 T:  0.8796052631578947
5 - 44 	 T:  0.8787179487179486
5 - 45 	 T:  0.8783749999999999
5 - 46 	 T:  0.8785365853658536
5 - 47 	 T:  0.8772619047619047
5 - 48 	 T:  0.8783720930232557
5 - 49 	 T:  0.8785227272727273
5 - 50 	 T:  0.8784444444444445
5 - 51 	 T:  0.8777173913043478
5 - 52 	 T:  0.8789361702127658
5 - 53 	 T:  0.8785416666666667
5 - 54 	 T:  0.8785714285714286
5 - 55 	 T:  0.8778999999999999
5 - 56 	 T:  0.8785294117647059
5 - 57 	 T:  0.8783653846153846
5 - 58 	 T:  0.8784905660377358
5 - 59 	 T:  0.8775
5 - 60 	 T:  0.8778181818181818
5 - 61 	 T:  0.8786607142857142
5 - 62 	 T:  0.878421052631579
5 - 63 	 T:  0.8775862068965516
5 - 64 	 T:  0.8783050847457627
5 - 65 	 T:  0.8776666666666666
5 - 66 	 T:  0.8783606557377049
5 - 67 	 T:  0.8779032258064516
5 - 68 	 T:  0.8780952380952382
5 - 69 	 T:  0.87828125
5 - 70 	 T:  0.8783076923076922
5 - 71 	 T:  0.876969696969697
5 - 72 	 T:  0.8781343283582089
5 - 73 	 T:  0.8783088235294118
5 - 74 	 T:  0.8769565217391305
5 - 75 	 T:  0.877
5 - 76 	 T:  0.8782394366197184
5 - 77 	 T:  0.8780555555555556
5 - 78 	 T:  0.8773287671232877
5 - 79 	 T:  0.8772972972972973
5 - 80 	 T:  0.8782
5 - 81 	 T:  0.8782236842105263
5 - 82 	 T:  0.8781818181818183
5 - 83 	 T:  0.8781410256410257
5 - 84 	 T:  0.8782278481012658
5 - 85 	 T:  0.878125
5 - 86 	 T:  0.877962962962963
5 - 87 	 T:  0.8781707317073172
5 - 88 	 T:  0.8780722891566265
5 - 89 	 T:  0.8780952380952382
5 - 90 	 T:  0.8779999999999999
5 - 91 	 T:  0.8781395348837209
5 - 92 	 T:  0.8781034482758621
5 - 93 	 T:  0.8780681818181818
5 - 94 	 T:  0.8779775280898876
5 - 95 	 T:  0.8779444444444444
5 - 96 	 T:  0.8782417582417582
5 - 97 	 T:  0.8776086956521738
5 - 98 	 T:  0.8780107526881721
5 - 99 	 T:  0.8779787234042553
5 - 100 	 T:  0.8779473684210527
5 - 101 	 T:  0.8779166666666667
5 - 102 	 T:  0.8779381443298969
5 - 103 	 T:  0.8779591836734693
5 - 104 	 T:  0.8777777777777777
