Configuration 2:  

(using maxima)

1 - 2 	 T:  0.8
9 - 16 	 T:  0.8042857142857144
9 - 17 	 T:  0.80375
9 - 18 	 T:  0.8044444444444445
9 - 19 	 T:  0.805
9 - 20 	 T:  0.8045454545454546
9 - 21 	 T:  0.8049999999999998
9 - 22 	 T:  0.8038461538461539
9 - 23 	 T:  0.8042857142857143
9 - 24 	 T:  0.8046666666666665
9 - 25 	 T:  0.804375
9 - 26 	 T:  0.8047058823529413
9 - 27 	 T:  0.8044444444444444
9 - 28 	 T:  0.8042105263157895
9 - 29 	 T:  0.8039999999999999
9 - 30 	 T:  0.8042857142857143
9 - 31 	 T:  0.804090909090909
9 - 32 	 T:  0.803913043478261
9 - 33 	 T:  0.8041666666666666
9 - 34 	 T:  0.804
9 - 35 	 T:  0.8038461538461538
9 - 36 	 T:  0.804074074074074
9 - 37 	 T:  0.8039285714285713
9 - 38 	 T:  0.8041379310344827
9 - 39 	 T:  0.8043333333333335
9 - 40 	 T:  0.8038709677419356
9 - 41 	 T:  0.8040624999999999
9 - 42 	 T:  0.803939393939394
9 - 43 	 T:  0.8041176470588234
9 - 44 	 T:  0.804
9 - 45 	 T:  0.8038888888888889
9 - 46 	 T:  0.8037837837837837
9 - 47 	 T:  0.8039473684210525
9 - 48 	 T:  0.8038461538461539
9 - 49 	 T:  0.80375
9 - 50 	 T:  0.8036585365853658
9 - 51 	 T:  0.8035714285714286
9 - 52 	 T:  0.803720930232558
10 - 11 	 T:  0.7999999999999989
10 - 12 	 T:  0.8049999999999997
10 - 13 	 T:  0.8066666666666666
10 - 14 	 T:  0.8049999999999997
10 - 15 	 T:  0.8039999999999999
10 - 16 	 T:  0.8033333333333333
10 - 17 	 T:  0.8028571428571427
10 - 18 	 T:  0.80375
10 - 19 	 T:  0.8044444444444445
10 - 20 	 T:  0.8039999999999999
10 - 21 	 T:  0.8045454545454543
10 - 22 	 T:  0.8033333333333333
10 - 23 	 T:  0.8038461538461538
10 - 24 	 T:  0.8042857142857142
10 - 25 	 T:  0.8039999999999999
10 - 26 	 T:  0.8043750000000001
10 - 27 	 T:  0.8041176470588234
10 - 28 	 T:  0.8038888888888889
10 - 29 	 T:  0.8036842105263158
10 - 30 	 T:  0.8039999999999999
10 - 31 	 T:  0.8038095238095238
10 - 32 	 T:  0.8036363636363636
10 - 33 	 T:  0.8039130434782608
10 - 34 	 T:  0.80375
10 - 35 	 T:  0.8036
10 - 36 	 T:  0.8038461538461538
