Configuration 1:  

(using maxima)

16 - 40 	 T:  0.8065000000000001
16 - 41 	 T:  0.80656
16 - 42 	 T:  0.8058461538461538
16 - 43 	 T:  0.8063703703703703
16 - 44 	 T:  0.8059999999999999
16 - 45 	 T:  0.8059310344827586
16 - 46 	 T:  0.8057333333333332
16 - 47 	 T:  0.8064516129032258
16 - 48 	 T:  0.802875
16 - 49 	 T:  0.8066666666666666
16 - 50 	 T:  0.8064705882352942
17 - 18 	 T:  0.815999999999999
17 - 19 	 T:  0.8059999999999992
17 - 20 	 T:  0.809333333333333
17 - 21 	 T:  0.8079999999999994
17 - 22 	 T:  0.8087999999999997
17 - 23 	 T:  0.8073333333333332
17 - 24 	 T:  0.8057142857142855
17 - 25 	 T:  0.8065
17 - 26 	 T:  0.8066666666666666
17 - 27 	 T:  0.7967999999999998
17 - 28 	 T:  0.8076363636363635
17 - 29 	 T:  0.8063333333333333
17 - 30 	 T:  0.806153846153846
17 - 31 	 T:  0.8068571428571427
17 - 32 	 T:  0.8058666666666666
17 - 33 	 T:  0.8064999999999999
17 - 34 	 T:  0.8051764705882354
17 - 35 	 T:  0.8062222222222222
17 - 36 	 T:  0.8061052631578948
17 - 37 	 T:  0.8053999999999999
17 - 38 	 T:  0.8064761904761905
17 - 39 	 T:  0.8059999999999999
17 - 40 	 T:  0.8062608695652173
17 - 41 	 T:  0.8063333333333335
17 - 42 	 T:  0.8056
17 - 43 	 T:  0.8061538461538462
17 - 44 	 T:  0.8057777777777778
17 - 45 	 T:  0.8057142857142858
17 - 46 	 T:  0.8055172413793104
17 - 47 	 T:  0.8062666666666668
17 - 48 	 T:  0.8025806451612904
17 - 49 	 T:  0.8065
17 - 50 	 T:  0.8063030303030304
18 - 19 	 T:  0.7959999999999994
18 - 20 	 T:  0.806
18 - 21 	 T:  0.8053333333333329
18 - 22 	 T:  0.8069999999999999
18 - 23 	 T:  0.8056000000000001
18 - 24 	 T:  0.8039999999999999
18 - 25 	 T:  0.8051428571428573
18 - 26 	 T:  0.8055000000000001
18 - 27 	 T:  0.7946666666666666
18 - 28 	 T:  0.8068
18 - 29 	 T:  0.8054545454545455
18 - 30 	 T:  0.8053333333333333
18 - 31 	 T:  0.806153846153846
18 - 32 	 T:  0.8051428571428572
18 - 33 	 T:  0.8058666666666666
18 - 34 	 T:  0.8045000000000001
18 - 35 	 T:  0.8056470588235294
18 - 36 	 T:  0.8055555555555557
18 - 37 	 T:  0.8048421052631579
18 - 38 	 T:  0.8059999999999998
18 - 39 	 T:  0.8055238095238094
18 - 40 	 T:  0.8058181818181819
